time,open,high,low,close,Developing Poc,Developing VA High,Developing VA Low,EMA,MA,Up Trend,UpTrend Begins,Buy,Down Trend,DownTrend Begins,Sell,,Volume,Volume MA,MA,MA,MA,Histogram,MACD,Signal,RSI
2020-02-23T23:00:00Z,3309,3312,3213.75,3226.25,2044.28125,2634.145833333333,1801.3958333333333,3323.0632811429878,3349.9642857142785,NaN,NaN,NaN,3404.1148017517394,3404.1148017517394,3404.1148017517394,3265.25,3636687,1934145.35,NaN,3318.52380952381,3091.5766666666614,-10.301122308676547,17.262262822489447,27.563385131165994,37.07156125833344
2020-02-24T23:00:00Z,3223,3259.5,3117.25,3132.5,2044.28125,2634.145833333333,1801.3958333333333,3305.7393464936254,3314.9642857142785,NaN,NaN,NaN,3358.1658215765656,NaN,NaN,3183.0625,4375530,2023840.05,NaN,3310.8571428571436,3092.5333333333274,-22.025781321393236,0.03115847942444816,22.056939800817684,29.014069773756844
2020-02-25T23:00:00Z,3138,3182,3091,3110.25,2044.28125,2634.145833333333,1801.3958333333333,3287.9675877214777,3276.285714285707,NaN,NaN,NaN,3316.6117394189087,NaN,NaN,3130.3125,3889097,2122751,NaN,3304.7023809523816,3093.2149999999942,-29.84097452323534,-15.244278353226491,14.596696170008848,27.48709705873199
2020-02-26T23:00:00Z,3100.25,3117,2944.5,2957,2044.28125,2634.145833333333,1801.3958333333333,3257.8796252013435,3217.39285714285,NaN,NaN,NaN,3244.600565477018,NaN,NaN,3029.6875,4734434,2276203.6,NaN,3289.4047619047624,3092.7849999999944,-43.088205295092216,-39.263560448856424,3.824644846235792,19.76961039550453
2020-02-27T23:00:00Z,2950,2996,2853.25,2951,2044.28125,2634.145833333333,1801.3958333333333,3229.9814774557667,3155.071428571421,NaN,NaN,NaN,3159.9155089293163,NaN,NaN,2937.5625,5715227,2440901.15,NaN,3274.095238095239,3092.4149999999945,-49.55033251984118,-58.11327080356568,-8.562938283724504,19.538313640886983
2020-03-01T23:00:00Z,2900,3093.25,2889.25,3065,2044.28125,2634.145833333333,1801.3958333333333,3214.983161323424,3111.6071428571363,NaN,NaN,NaN,3159.9155089293163,NaN,NaN,2986.875,3689149,2467755.15,NaN,3263.392857142858,3092.6849999999945,-43.64987801434737,-63.12528580165872,-19.475407787311347,35.07971367735584
2020-03-02T23:00:00Z,3077,3137,2973,2997,2044.28125,2634.145833333333,1801.3958333333333,3195.166510294022,3062.714285714279,NaN,NaN,NaN,3159.9155089293163,NaN,NaN,3046,3754363,2559499.45,NaN,3252.583333333334,3092.5199999999945,-41.825436271920196,-71.7572031272116,-29.9317668552914,31.207583933617656
2020-03-03T23:00:00Z,2988.25,3129.5,2976.5,3114.75,2044.28125,2634.145833333333,1801.3958333333333,3187.855918449111,3046.7857142857074,NaN,NaN,NaN,3159.9155089293163,NaN,NaN,3052.25,2590464,2604102.5,NaN,3246.3571428571436,3093.203333333328,-30.70194093096785,-68.30919301900121,-37.60725208803336,42.95064425218183
2020-03-04T23:00:00Z,3109.25,3113.75,2996.5,3015.5,2044.28125,2634.145833333333,1801.3958333333333,3172.1871985901007,3030.0714285714216,NaN,NaN,NaN,3159.9155089293163,NaN,NaN,3058.75,2807262,2642160.05,NaN,3232.833333333335,3093.4249999999947,-28.111548068230015,-72.74668717332088,-44.635139105090865,37.18827544272484
2020-03-05T23:00:00Z,3024.25,3037,2898,2964,2044.28125,2634.145833333333,1801.3958333333333,3153.261089627364,3009.1785714285647,NaN,NaN,NaN,3159.9155089293163,NaN,NaN,2980.8125,3163400,2727213.9,NaN,3215.166666666668,3093.5049999999947,-27.893965847733746,-79.50259641475805,-51.6086305670243,34.594680840013524
2020-03-08T22:00:00Z,2916,2916,2715,2747.75,2044.28125,2634.145833333333,1801.3958333333333,3116.3964451157854,2979.285714285707,NaN,NaN,NaN,3159.9155089293163,NaN,NaN,2823.6875,2672753,2775904.55,NaN,3186.714285714287,3092.273333333328,-39.62540551177399,-101.14038745674179,-61.5149819449678,26.300207723990923
2020-03-09T22:00:00Z,2733,2884.75,2695.25,2865.75,2044.28125,2634.145833333333,1801.3958333333333,3093.610404650714,2967.1071428571354,NaN,NaN,NaN,3159.9155089293163,NaN,NaN,2794.6875,3423140,2877070.8,NaN,3164.82142857143,3092.5116666666613,-36.809910703934435,-107.52737032488585,-70.71745962095142,35.40167307651467
2020-03-10T22:00:00Z,2859.5,2869.5,2702.75,2740.25,2044.28125,2634.145833333333,1801.3958333333333,3061.486731500649,2920.7142857142785,NaN,NaN,NaN,3159.9155089293163,NaN,NaN,2793,2992894,2952407.3,NaN,3135.6428571428587,3091.606666666661,-40.47997598751219,-121.31742960534166,-80.83745361782947,31.014752444155206
2020-03-11T22:00:00Z,2738,2774,2442.5,2469,2044.28125,2634.145833333333,1801.3958333333333,3007.6243013642265,2845.285714285707,NaN,NaN,NaN,3066.9606094084547,NaN,NaN,2605.875,4366577,3109274.6,NaN,3093.3333333333344,3088.863333333328,-57.231836251443326,-152.37724893213363,-95.1454126806903,24.07166263857887
2020-03-12T22:00:00Z,2417,2697.25,2380,2684,2044.28125,2634.145833333333,1801.3958333333333,2978.203910331115,2783.7499999999927,NaN,NaN,NaN,3046.639548467609,NaN,NaN,2544.5625,3233288,3182299.8,NaN,3060.166666666668,3087.1566666666613,-50.143170013438024,-157.82437519748783,-107.6812051840498,36.25306217339465
2020-03-15T22:00:00Z,2631.5,2650,2350,2405.25,2044.28125,2634.145833333333,1801.3958333333333,2926.1171912101045,2696.571428571421,NaN,NaN,NaN,3046.639548467609,NaN,NaN,2509.1875,3539756,3292542.75,NaN,3013.869047619048,3083.7266666666615,-59.87900831202093,-182.52996557407596,-122.65095726205503,29.618435232872756
2020-03-16T22:00:00Z,2407,2542.75,2352,2485.5,2044.28125,2634.145833333333,1801.3958333333333,2886.061082918277,2628.2142857142785,NaN,NaN,NaN,3006.2717842587635,NaN,NaN,2446.8125,3788132,3395152.8,NaN,2971.2261904761913,3081.0949999999943,-56.602733695235855,-193.40437438109984,-136.801640685864,33.397441178385165
2020-03-17T22:00:00Z,2467.5,2486.25,2262,2401.5,2044.28125,2634.145833333333,1801.3958333333333,2842.0100753802517,2578.7499999999927,NaN,NaN,NaN,2944.407105832887,NaN,NaN,2404.3125,3255696,3499766.3,NaN,2925.142857142858,3077.558333333328,-55.695508721219255,-206.42102658738804,-150.7255178661688,31.491411277845557
2020-03-18T22:00:00Z,2402.5,2460,2275,2389,2044.28125,2634.145833333333,1801.3958333333333,2800.827341254774,2510.64285714285,NaN,NaN,NaN,2936.2538952495984,NaN,NaN,2381.625,3127808,3552469.25,NaN,2877.6071428571436,3074.546666666661,-51.63081210604591,-215.26403299872618,-163.63322089268027,31.206000716251182
2020-03-19T22:00:00Z,2351,2499,2260,2288.5,2044.28125,2634.145833333333,1801.3958333333333,2754.252128413431,2446.107142857135,NaN,NaN,NaN,2936.2538952495984,NaN,NaN,2349.625,3075997,3591582.7,NaN,2826.142857142858,3070.813333333328,-51.298428901071645,-227.7562570190198,-176.45782811794817,28.93536427967561
2020-03-22T22:00:00Z,2220.25,2386,2174,2220.5,2044.28125,2634.145833333333,1801.3958333333333,2705.7292076485737,2410.607142857135,NaN,NaN,NaN,2868.8206551521744,NaN,NaN,2250.1875,3076791,3563587.9,NaN,2772.869047619048,3066.3399999999947,-51.13181794138086,-240.37260054467424,-189.24078260329338,27.47846511853541
2020-03-23T22:00:00Z,2233.25,2447.75,2230.5,2438,2044.28125,2634.145833333333,1801.3958333333333,2681.3901887714305,2375.4642857142776,NaN,NaN,NaN,2868.8206551521744,NaN,NaN,2337.375,2639522,3476787.5,NaN,2735.333333333334,3063.101666666661,-32.741361059375606,-230.16748392751288,-197.42612286813727,38.19720406355768
2020-03-24T22:00:00Z,2442.75,2560.75,2386,2467,2044.28125,2634.145833333333,1801.3958333333333,2661.900171610391,2384.285714285706,NaN,NaN,NaN,2868.8206551521744,NaN,NaN,2464.125,3037767,3434221,NaN,2703.6428571428582,3060.226666666661,-15.847614191250841,-217.23564060720082,-201.38802641594998,39.48156710591688
2020-03-25T22:00:00Z,2471,2625.75,2402.25,2608,2044.28125,2634.145833333333,1801.3958333333333,2657.0001560094465,2401.785714285706,NaN,NaN,NaN,2868.8206551521744,NaN,NaN,2526.75,2413913,3318194.95,NaN,2679.7261904761917,3058.084999999994,6.406123975807532,-193.38037144619057,-199.7864954219981,45.42058152378968
2020-03-26T22:00:00Z,2627.75,2634.5,2505.25,2524,2044.28125,2634.145833333333,1801.3958333333333,2644.9092327358603,2419.285714285706,NaN,NaN,NaN,2868.8206551521744,NaN,NaN,2572.875,2320755,3148471.35,NaN,2659.107142857144,3055.4299999999944,16.47924791013321,-179.1874355343316,-195.6666834444648,42.73024302965851
2020-03-29T22:00:00Z,2459,2621.75,2445,2611.25,2044.28125,2634.145833333333,1801.3958333333333,2641.849302487146,2451.035714285706,NaN,NaN,NaN,2868.8206551521744,NaN,NaN,2534.25,1837692,3055898.5,NaN,2642.9285714285725,3053.801666666661,29.280964408787128,-159.0654779334809,-188.34644234226803,46.288922963567146
2020-03-30T22:00:00Z,2613.25,2635.75,2555.75,2569.75,2044.28125,2634.145833333333,1801.3958333333333,2635.29482044286,2491.2142857142776,NaN,NaN,NaN,2868.8206551521744,NaN,NaN,2593.625,2248012,2980580.95,NaN,2619.345238095239,3051.7116666666607,34.83856127510455,-144.79824074838734,-179.6368020234919,44.8610155940472
2020-03-31T22:00:00Z,2562,2562.25,2434.25,2448,2044.28125,2634.145833333333,1801.3958333333333,2618.268018584418,2523.7142857142776,NaN,NaN,NaN,2868.8206551521744,NaN,NaN,2501.625,2091378,2955626.65,NaN,2593.202380952382,3048.9283333333274,30.3635742369367,-141.682334227321,-172.0459084642577,40.877112834024715
2020-04-01T22:00:00Z,2459,2525,2424.75,2516.5,2044.28125,2634.145833333333,1801.3958333333333,2609.016380531289,2534.928571428563,NaN,NaN,NaN,2868.8206551521744,NaN,NaN,2481.3125,2145458,2922536.45,NaN,2564.714285714287,3046.439999999994,31.90704999969762,-132.16209596463568,-164.0691459643333,43.89595288993494
2020-04-02T22:00:00Z,2513.75,2529.5,2449,2482.75,2044.28125,2634.145833333333,1801.3958333333333,2597.537618664808,2537.178571428563,NaN,NaN,NaN,2868.8206551521744,NaN,NaN,2493.75,1763886,2852560.75,NaN,2539.345238095239,3043.479999999994,30.5437913526859,-125.88940677347591,-156.4331981261618,42.73806317662194
2020-04-05T22:00:00Z,2485,2668.5,2484.75,2644.5,2044.28125,2634.145833333333,1801.3958333333333,2601.8069260589164,2542.3928571428487,NaN,NaN,NaN,2868.8206551521744,NaN,NaN,2570.6875,2034419,2820644.05,NaN,2524.1309523809537,3041.6116666666608,39.83684995887285,-106.63713567757077,-146.47398563644362,49.59974594517779
2020-04-06T22:00:00Z,2645.5,2750,2623.5,2642,2044.28125,2634.145833333333,1801.3958333333333,2605.460841871742,2559.249999999992,NaN,NaN,NaN,2868.8206551521744,NaN,NaN,2665.25,2486524,2773813.25,NaN,2519.095238095239,3039.8516666666605,44.74907676273182,-90.53763968302883,-135.28671644576065,49.50101368079901
2020-04-07T22:00:00Z,2640.5,2752.5,2620.75,2735,2044.28125,2634.145833333333,1801.3958333333333,2617.237128974311,2576.928571428563,NaN,NaN,NaN,2868.8206551521744,NaN,NaN,2687.1875,1920688,2720202.95,NaN,2512.869047619049,3038.494999999994,52.650570714415835,-69.47350305274085,-122.12407376715669,53.23066684167548
2020-04-08T22:00:00Z,2737.75,2809.5,2701,2779.75,2044.28125,2634.145833333333,1801.3958333333333,2632.0110263402826,2606.928571428563,NaN,NaN,NaN,2868.8206551521744,NaN,NaN,2757,2342733,2619010.75,NaN,2514.750000000001,3037.2133333333277,58.812266453105806,-48.60874070077443,-107.42100715388024,54.95464046969641
2020-04-12T22:00:00Z,2811,2819.5,2711,2759.25,2044.28125,2634.145833333333,1801.3958333333333,2643.578205763893,2651.3928571428487,NaN,NaN,NaN,2868.8206551521744,NaN,NaN,2775.1875,1571402,2535916.45,NaN,2528.57142857143,3035.7366666666608,59.26233648919421,-33.34308654238748,-92.6054230315817,53.97313529859568
2020-04-13T22:00:00Z,2760,2846,2752.5,2843,2044.28125,2634.145833333333,1801.3958333333333,2661.7074597853575,2698.035714285706,NaN,NaN,NaN,2868.8206551521744,NaN,NaN,2800.375,1716496,2444753.45,NaN,2536.1428571428582,3034.8349999999937,62.62679737306715,-14.321926315247765,-76.94872368831491,57.32636638232187
2020-04-14T22:00:00Z,2843.75,2845.5,2751.25,2775,2044.28125,2634.145833333333,1801.3958333333333,2672.006781623052,2739.785714285706,NaN,NaN,NaN,2868.8206551521744,NaN,NaN,2803.875,1831570,2346925.35,NaN,2553.750000000001,3033.478333333327,57.81450175651501,-4.680596492671157,-62.495098249186164,53.89320006296756
2020-04-15T22:00:00Z,2767.75,2831.5,2746,2787.5,2044.28125,2634.145833333333,1801.3958333333333,2682.5061651118654,2760.2142857142776,NaN,NaN,NaN,2868.8206551521744,NaN,NaN,2783.1875,1749108,2271595.95,NaN,2568.1309523809537,3032.0483333333273,53.13499305690255,3.923643071942024,-49.21134998496053,54.43342250516652
2020-04-16T22:00:00Z,2863,2885,2821,2870,2044.28125,2634.145833333333,1801.3958333333333,2699.551059192605,2792.785714285706,2468.598850150509,2468.598850150509,2468.598850150509,NaN,NaN,NaN,2859.75,1924019,2211406.5,NaN,2590.4404761904775,3031.103333333327,53.1301512728288,17.201339106075466,-35.92881216675333,57.93643984799681
